,region,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_role,agent1_hours,matches1,win_rate1,win_rate1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_role,agent2_hours,matches2,win_rate2,win_rate2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_role,agent3_hours,matches3,win_rate3,win_rate3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3
10,ap,534.0,124.0,69.0,148.8,1.09,34.3,49.2,61.0,73.9,12.0,2076.0,1897.0,582.0,223.8,1.4,0.8,243.0,105.0,5.0,48.6,Clove,Controller,17.0,31.0,51.6,43.5,66.7,1.09,162.6,249.8,8.0,Bind,80.0,Jett,Duelist,14.0,25.0,40.0,52.6,57.1,1.13,154.7,235.3,17.0,Haven,43.0,Reyna,Duelist,9.7,17.0,47.1,54.1,57.1,1.05,141.0,213.5,4.0,Haven,75.0,Vandal,Assault Rifles,49.0,47.0,4.0,1334.0,Sheriff,Sidearms,54.0,46.0,0.0,145.0,Guardian,Assault Rifles,45.0,52.0,3.0,128.0
11,ap,640.0,97.0,53.0,152.7,1.06,28.7,51.5,50.0,69.1,12.0,1655.0,1564.0,442.0,229.3,1.34,0.8,252.0,53.0,1.0,50.0,Cypher,Sentinel,18.0,34.0,52.9,54.5,63.6,1.0,142.2,212.1,7.0,Pearl,83.0,Jett,Duelist,9.4,15.0,60.0,54.3,56.2,1.19,168.2,252.9,24.0,Abyss,80.0,Raze,Duelist,4.2,8.0,50.0,52.5,53.3,1.01,160.1,249.0,1.0,Bind,75.0,Vandal,Assault Rifles,43.0,54.0,3.0,987.0,Ghost,Sidearms,50.0,47.0,3.0,149.0,Sheriff,Sidearms,56.0,43.0,1.0,134.0
12,ap,284.0,119.0,65.0,145.3,0.97,31.3,53.8,64.0,69.9,4.0,1956.0,2023.0,468.0,225.7,1.2,0.8,424.0,84.0,1.0,51.8,Jett,Duelist,41.0,74.0,52.7,49.4,66.7,1.0,148.7,231.3,1.0,Lotus,64.0,Clove,Controller,8.0,15.0,66.7,75.0,60.0,0.87,143.7,229.3,22.0,Split,75.0,Neon,Duelist,5.1,10.0,20.0,61.5,58.8,0.84,126.4,206.1,27.0,Haven,33.0,Vandal,Assault Rifles,54.0,43.0,3.0,939.0,Phantom,Assault Rifles,51.0,45.0,4.0,180.0,Sheriff,Sidearms,58.0,39.0,3.0,176.0
13,ap,300.0,169.0,97.0,143.1,1.0,27.6,47.3,80.0,69.4,2.0,2714.0,2722.0,685.0,214.5,1.25,0.8,369.0,110.0,6.0,49.2,Jett,Duelist,25.0,45.0,46.7,48.0,79.2,1.02,147.7,226.0,2.0,Abyss,86.0,Raze,Duelist,15.0,27.0,48.1,29.2,60.0,1.05,154.7,228.5,17.0,Split,63.0,Reyna,Duelist,8.5,15.0,26.7,63.6,50.0,1.05,142.3,223.3,1.0,Haven,67.0,Vandal,Assault Rifles,44.0,52.0,5.0,1085.0,Phantom,Assault Rifles,35.0,60.0,5.0,664.0,Sheriff,Sidearms,59.0,40.0,1.0,220.0
14,ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ap,168.0,65.0,33.0,148.3,1.14,31.1,58.5,38.0,74.8,18.0,1075.0,947.0,313.0,230.6,1.47,0.8,170.0,61.0,0.0,52.3,Reyna,Duelist,5.4,11.0,54.5,55.6,80.0,1.02,136.5,211.5,1.0,Fracture,67.0,Killjoy,Sentinel,4.5,9.0,66.7,54.5,66.7,1.21,145.6,222.9,25.0,Pearl,100.0,Jett,Duelist,3.6,8.0,50.0,57.7,62.5,1.38,168.1,260.0,41.0,Abyss,60.0,Vandal,Assault Rifles,43.0,53.0,4.0,729.0,Sheriff,Sidearms,63.0,35.0,2.0,96.0,Ghost,Sidearms,46.0,50.0,5.0,81.0
16,ap,581.0,71.0,39.0,161.2,1.29,28.6,56.3,40.0,75.8,29.0,1344.0,1038.0,344.0,249.2,1.63,0.9,138.0,49.0,4.0,52.1,Tejo,Initiator,7.0,12.0,66.7,50.0,69.2,1.43,161.2,249.8,42.0,Split,80.0,Clove,Controller,5.1,9.0,66.7,57.9,66.7,1.17,163.6,250.2,9.0,Abyss,100.0,Jett,Duelist,3.8,8.0,62.5,75.0,57.1,1.3,161.5,248.0,36.0,Haven,80.0,Vandal,Assault Rifles,44.0,52.0,3.0,694.0,Phantom,Assault Rifles,44.0,49.0,7.0,190.0,Sheriff,Sidearms,61.0,39.0,0.0,104.0
17,ap,142.0,93.0,49.0,148.7,1.08,25.2,49.5,46.0,73.1,9.0,1550.0,1430.0,491.0,225.3,1.43,0.8,208.0,53.0,4.0,49.7,Sova,Initiator,11.0,21.0,57.1,43.8,70.0,1.23,153.8,227.5,25.0,Abyss,75.0,Tejo,Initiator,5.5,11.0,45.5,58.7,57.1,0.88,130.0,189.4,5.0,Fracture,40.0,Jett,Duelist,5.8,11.0,36.4,44.4,53.8,1.2,155.4,246.6,16.0,Haven,33.0,Vandal,Assault Rifles,42.0,54.0,4.0,863.0,Phantom,Assault Rifles,42.0,54.0,4.0,162.0,Classic,Sidearms,37.0,58.0,5.0,90.0
18,ap,117.0,66.0,37.0,155.7,1.13,23.7,57.6,38.0,73.1,15.0,1191.0,1052.0,347.0,238.8,1.46,0.8,183.0,51.0,0.0,52.2,Jett,Duelist,12.0,23.0,73.9,67.4,75.0,1.31,169.8,262.7,32.0,Split,80.0,Neon,Duelist,8.1,15.0,60.0,28.6,72.7,1.04,144.4,239.3,12.0,Lotus,75.0,Vyse,Sentinel,5.8,10.0,20.0,71.4,62.5,0.94,138.7,197.9,10.0,Abyss,50.0,Vandal,Assault Rifles,43.0,53.0,4.0,554.0,Ghost,Sidearms,49.0,49.0,2.0,83.0,Sheriff,Sidearms,45.0,53.0,2.0,76.0
19,ap,589.0,140.0,76.0,159.4,1.14,30.0,49.3,69.0,73.7,22.0,2530.0,2222.0,690.0,240.7,1.45,0.8,410.0,119.0,11.0,50.1,Jett,Duelist,20.0,37.0,40.5,56.1,68.2,1.14,162.0,249.7,20.0,Abyss,75.0,Raze,Duelist,16.0,30.0,56.7,57.1,63.2,1.21,174.7,262.3,34.0,Bind,75.0,Deadlock,Sentinel,8.3,16.0,62.5,48.1,54.5,1.19,152.4,232.2,23.0,Bind,55.0,Vandal,Assault Rifles,44.0,52.0,4.0,1470.0,Sheriff,Sidearms,54.0,45.0,0.0,146.0,Ghost,Sidearms,50.0,49.0,1.0,144.0
20,ap,496.0,109.0,61.0,125.7,0.93,32.0,43.1,47.0,67.9,6.0,1521.0,1638.0,493.0,186.9,1.23,0.7,197.0,87.0,0.0,49.1,Sova,Initiator,14.0,26.0,46.2,44.8,60.0,0.95,126.3,186.0,1.0,Haven,56.0,Tejo,Initiator,9.7,18.0,33.3,42.3,58.3,0.84,118.3,174.3,18.0,Lotus,40.0,Killjoy,Sentinel,8.4,15.0,46.7,47.1,50.0,0.99,127.8,185.0,3.0,Fracture,50.0,Vandal,Assault Rifles,46.0,51.0,3.0,796.0,Phantom,Assault Rifles,38.0,56.0,6.0,159.0,Ghost,Sidearms,58.0,42.0,0.0,150.0
21,ap,84.0,129.0,69.0,142.8,1.07,27.6,62.8,81.0,72.4,6.0,2096.0,1960.0,523.0,218.2,1.34,0.8,306.0,99.0,3.0,53.9,Jett,Duelist,19.0,35.0,68.6,60.3,83.3,1.06,142.3,214.7,8.0,Abyss,89.0,Neon,Duelist,13.0,23.0,60.9,67.6,68.4,1.06,141.7,228.6,4.0,Fracture,71.0,Cypher,Sentinel,9.2,18.0,77.8,64.3,68.4,1.18,142.1,204.4,21.0,Haven,80.0,Vandal,Assault Rifles,42.0,54.0,4.0,938.0,Operator,Sniper Rifles,8.0,89.0,2.0,173.0,Outlaw,Sniper Rifles,10.0,88.0,2.0,142.0
22,ap,56.0,50.0,26.0,181.0,1.47,29.2,80.0,40.0,77.2,51.0,1048.0,714.0,229.0,273.2,1.79,1.0,132.0,47.0,5.0,57.9,Jett,Duelist,9.2,17.0,76.5,71.4,100.0,1.54,186.4,289.6,60.0,Fracture,83.0,Clove,Controller,3.4,7.0,71.4,85.7,100.0,1.28,171.5,250.4,32.0,Split,100.0,Deadlock,Sentinel,3.0,6.0,100.0,80.0,80.0,1.89,192.9,299.5,77.0,Bind,100.0,Vandal,Assault Rifles,40.0,57.0,3.0,638.0,Operator,Sniper Rifles,1.0,97.0,1.0,79.0,Guardian,Assault Rifles,39.0,61.0,0.0,71.0
23,ap,717.0,150.0,82.0,130.4,0.99,32.4,53.3,80.0,72.3,1.0,2215.0,2229.0,838.0,197.1,1.37,0.7,230.0,112.0,3.0,51.2,Jett,Duelist,12.0,22.0,50.0,41.7,73.9,1.01,140.4,217.9,2.0,Abyss,75.0,Sova,Initiator,10.0,20.0,50.0,56.7,57.1,0.94,129.7,187.1,6.0,Abyss,45.0,Skye,Initiator,10.0,19.0,57.9,60.0,52.6,0.98,130.7,197.1,1.0,Split,71.0,Vandal,Assault Rifles,43.0,53.0,4.0,1520.0,Ghost,Sidearms,43.0,54.0,3.0,168.0,Sheriff,Sidearms,64.0,34.0,2.0,154.0
24,ap,811.0,112.0,58.0,138.6,0.95,17.8,54.5,61.0,72.9,6.0,1647.0,1727.0,720.0,208.4,1.37,0.7,182.0,90.0,3.0,50.7,Clove,Controller,15.0,31.0,54.8,66.7,80.0,0.91,147.7,223.3,16.0,Bind,86.0,Raze,Duelist,6.0,11.0,45.5,51.7,64.3,1.04,153.3,226.6,16.0,Bind,83.0,Cypher,Sentinel,3.9,8.0,75.0,55.9,64.3,1.17,130.5,201.2,4.0,Split,67.0,Vandal,Assault Rifles,31.0,65.0,4.0,859.0,Judge,Shotguns,11.0,78.0,11.0,107.0,Phantom,Assault Rifles,24.0,70.0,6.0,102.0
25,ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ap,265.0,153.0,82.0,156.8,1.06,41.6,64.7,99.0,73.3,9.0,2727.0,2579.0,981.0,238.0,1.44,0.8,430.0,119.0,7.0,54.0,Clove,Controller,39.0,74.0,63.5,63.2,73.7,0.99,159.1,243.1,3.0,Lotus,76.0,Jett,Duelist,10.0,19.0,73.7,75.0,73.1,1.08,157.0,240.6,15.0,Pearl,100.0,Chamber,Sentinel,8.8,18.0,55.6,60.6,71.4,1.21,163.3,237.2,30.0,Lotus,80.0,Vandal,Assault Rifles,61.0,37.0,2.0,1752.0,Sheriff,Sidearms,65.0,35.0,1.0,248.0,Classic,Sidearms,51.0,46.0,3.0,108.0
27,ap,822.0,146.0,82.0,118.2,0.89,29.7,43.2,63.0,69.9,20.0,2047.0,2309.0,829.0,182.0,1.25,0.6,176.0,78.0,0.0,47.1,Deadlock,Sentinel,22.0,39.0,35.9,60.0,52.6,0.89,111.4,172.9,22.0,Fracture,50.0,Cypher,Sentinel,13.0,23.0,47.8,51.9,47.8,0.82,104.9,157.9,26.0,Haven,50.0,Clove,Controller,11.0,20.0,50.0,31.4,45.0,0.91,136.0,213.0,20.0,Bind,56.0,Vandal,Assault Rifles,47.0,49.0,4.0,1050.0,Phantom,Assault Rifles,42.0,54.0,5.0,250.0,Classic,Sidearms,42.0,54.0,4.0,173.0
28,ap,391.0,88.0,45.0,146.7,1.07,29.1,53.4,47.0,72.0,6.0,1422.0,1323.0,415.0,225.1,1.39,0.8,198.0,63.0,4.0,51.4,Jett,Duelist,9.1,17.0,52.9,51.2,64.7,1.18,167.8,259.5,22.0,Haven,67.0,Clove,Controller,8.3,15.0,60.0,57.9,57.1,1.04,155.4,245.5,0.0,Abyss,67.0,Reyna,Duelist,5.8,12.0,66.7,45.5,55.6,1.34,168.5,256.0,26.0,Split,67.0,Vandal,Assault Rifles,48.0,49.0,3.0,773.0,Phantom,Assault Rifles,46.0,51.0,4.0,98.0,Ghost,Sidearms,41.0,56.0,3.0,92.0
29,ap,238.0,168.0,93.0,138.6,0.96,16.4,53.6,90.0,72.3,15.0,2761.0,2867.0,960.0,224.0,1.3,0.8,427.0,127.0,7.0,50.9,Clove,Controller,31.0,57.0,57.9,51.5,71.4,0.96,151.0,239.7,15.0,Pearl,58.0,Raze,Duelist,25.0,47.0,61.7,33.3,69.2,1.06,141.2,229.3,4.0,Lotus,76.0,Jett,Duelist,10.0,17.0,58.8,58.3,56.0,0.97,139.3,224.8,15.0,Abyss,100.0,Judge,Shotguns,11.0,75.0,14.0,686.0,Vandal,Assault Rifles,37.0,57.0,6.0,660.0,Phantom,Assault Rifles,35.0,61.0,4.0,485.0
30,ap,216.0,98.0,51.0,155.2,1.09,30.3,61.2,60.0,72.8,14.0,1687.0,1544.0,512.0,235.5,1.42,0.8,280.0,72.0,5.0,53.6,Jett,Duelist,16.0,31.0,77.4,66.0,72.7,1.3,175.2,272.5,37.0,Haven,75.0,Clove,Controller,12.0,23.0,47.8,47.8,71.4,0.8,133.9,199.8,28.0,Bind,75.0,Reyna,Duelist,6.8,12.0,33.3,58.8,71.4,0.85,134.5,202.6,16.0,Fracture,50.0,Vandal,Assault Rifles,47.0,51.0,2.0,953.0,Phantom,Assault Rifles,42.0,55.0,3.0,112.0,Ghost,Sidearms,50.0,49.0,2.0,99.0
31,ap,583.0,171.0,90.0,146.9,1.05,33.6,47.4,81.0,70.4,7.0,2828.0,2687.0,849.0,218.9,1.37,0.8,342.0,126.0,6.0,48.9,Jett,Duelist,20.0,38.0,42.1,51.7,60.0,1.06,150.9,226.1,9.0,Haven,67.0,Vyse,Sentinel,14.0,26.0,42.3,52.4,56.0,1.16,154.9,224.4,23.0,Bind,67.0,Neon,Duelist,10.0,20.0,75.0,50.0,50.0,1.15,154.2,240.8,9.0,Lotus,83.0,Vandal,Assault Rifles,52.0,46.0,2.0,1810.0,Sheriff,Sidearms,55.0,44.0,1.0,207.0,Ghost,Sidearms,51.0,47.0,2.0,178.0
32,ap,710.0,89.0,51.0,141.5,1.05,33.6,49.4,44.0,73.4,10.0,1389.0,1321.0,545.0,209.6,1.46,0.7,129.0,56.0,0.0,49.8,Clove,Controller,16.0,30.0,53.3,51.1,73.3,0.98,146.3,220.9,4.0,Abyss,80.0,Vyse,Sentinel,13.0,23.0,52.2,50.0,60.0,1.08,142.8,206.7,20.0,Abyss,60.0,Cypher,Sentinel,9.5,17.0,47.1,0.0,45.5,1.1,130.5,195.2,12.0,Haven,56.0,Vandal,Assault Rifles,49.0,48.0,3.0,510.0,Phantom,Assault Rifles,44.0,53.0,3.0,467.0,Ghost,Sidearms,54.0,44.0,2.0,102.0
33,ap,357.0,203.0,111.0,135.7,1.0,31.6,49.3,100.0,68.9,3.0,3022.0,3024.0,1040.0,206.0,1.34,0.7,393.0,131.0,1.0,49.3,Cypher,Sentinel,22.0,42.0,47.6,47.1,67.7,1.04,136.7,209.4,8.0,Pearl,88.0,Reyna,Duelist,10.0,20.0,40.0,38.2,55.6,0.98,145.1,220.9,1.0,Haven,75.0,Fade,Initiator,10.0,18.0,44.4,54.5,51.7,0.98,125.8,188.4,0.0,Lotus,67.0,Vandal,Assault Rifles,45.0,51.0,4.0,1644.0,Phantom,Assault Rifles,39.0,57.0,4.0,422.0,Ghost,Sidearms,49.0,48.0,3.0,281.0
34,ap,251.0,71.0,39.0,135.4,1.01,34.5,52.1,37.0,71.2,3.0,1048.0,1033.0,399.0,199.3,1.4,0.7,106.0,46.0,1.0,49.4,Tejo,Initiator,9.6,17.0,52.9,61.5,66.7,1.13,135.8,198.7,16.0,Pearl,67.0,Clove,Controller,6.0,11.0,63.6,62.5,66.7,0.94,149.8,220.8,8.0,Fracture,80.0,Sova,Initiator,4.9,9.0,55.6,50.0,63.6,1.16,141.9,201.8,22.0,Haven,33.0,Vandal,Assault Rifles,51.0,46.0,3.0,578.0,Phantom,Assault Rifles,49.0,50.0,2.0,153.0,Ghost,Sidearms,52.0,46.0,2.0,72.0
35,ap,293.0,45.0,24.0,149.3,1.12,37.1,64.4,29.0,72.7,16.0,777.0,695.0,205.0,225.0,1.41,0.8,109.0,36.0,3.0,52.5,Cypher,Sentinel,5.0,9.0,55.6,66.7,100.0,1.13,147.7,221.3,13.0,Split,67.0,Tejo,Initiator,4.0,7.0,57.1,57.1,83.3,1.04,130.9,195.5,3.0,Haven,50.0,Reyna,Duelist,3.7,6.0,66.7,62.5,80.0,1.22,164.3,251.1,20.0,Bind,50.0,Vandal,Assault Rifles,52.0,45.0,3.0,569.0,Ghost,Sidearms,59.0,37.0,4.0,69.0,Sheriff,Sidearms,58.0,42.0,0.0,44.0
36,ap,351.0,74.0,40.0,148.4,1.12,31.8,58.1,43.0,78.6,8.0,1258.0,1120.0,547.0,222.9,1.61,0.8,104.0,67.0,2.0,51.1,Clove,Controller,16.0,32.0,53.1,75.0,75.0,1.14,160.3,242.9,11.0,Split,67.0,Phoenix,Duelist,7.0,13.0,53.8,53.1,63.6,1.18,144.7,214.5,3.0,Pearl,20.0,Breach,Initiator,4.8,10.0,60.0,50.0,61.5,1.09,137.6,210.2,4.0,Fracture,67.0,Vandal,Assault Rifles,40.0,57.0,3.0,811.0,Sheriff,Sidearms,60.0,40.0,1.0,146.0,Guardian,Assault Rifles,40.0,59.0,1.0,95.0
37,ap,481.0,87.0,46.0,113.4,0.89,24.4,70.1,61.0,72.8,17.0,1122.0,1262.0,580.0,170.7,1.35,0.6,83.0,85.0,2.0,55.3,Clove,Controller,8.0,16.0,56.2,64.3,90.9,0.77,113.1,171.1,36.0,Haven,75.0,Reyna,Duelist,6.5,12.0,41.7,87.0,83.3,1.0,133.0,198.2,4.0,Haven,67.0,Jett,Duelist,5.3,10.0,70.0,64.3,66.7,0.74,102.1,152.6,38.0,Fracture,80.0,Vandal,Assault Rifles,37.0,60.0,3.0,517.0,Sheriff,Sidearms,42.0,56.0,1.0,144.0,Phantom,Assault Rifles,24.0,73.0,3.0,90.0
38,ap,190.0,84.0,48.0,161.9,1.25,25.7,50.0,42.0,74.0,30.0,1556.0,1245.0,405.0,243.7,1.58,0.9,213.0,73.0,1.0,48.7,Jett,Duelist,13.0,23.0,52.2,51.7,62.5,1.21,159.0,239.5,28.0,Haven,67.0,Yoru,Duelist,7.0,11.0,45.5,50.0,57.1,1.27,161.5,249.6,29.0,Bind,75.0,Raze,Duelist,6.3,11.0,45.5,47.1,53.8,1.1,175.1,259.6,36.0,Fracture,67.0,Vandal,Assault Rifles,38.0,58.0,4.0,822.0,Phantom,Assault Rifles,32.0,63.0,5.0,124.0,Guardian,Assault Rifles,38.0,59.0,3.0,117.0
39,ap,555.0,162.0,90.0,148.1,1.13,30.8,49.4,80.0,69.9,13.0,2772.0,2461.0,500.0,224.5,1.33,0.8,378.0,104.0,7.0,49.9,Jett,Duelist,28.0,53.0,54.7,50.0,66.7,1.21,152.8,237.0,21.0,Abyss,71.0,Raze,Duelist,28.0,50.0,44.0,50.0,57.1,1.15,157.0,234.6,22.0,Split,53.0,Reyna,Duelist,12.0,20.0,50.0,42.9,56.0,1.21,154.1,234.9,19.0,Bind,75.0,Vandal,Assault Rifles,48.0,50.0,2.0,1621.0,Sheriff,Sidearms,53.0,45.0,2.0,254.0,Outlaw,Sniper Rifles,7.0,92.0,1.0,150.0
