,nickname,region,rank,rank_rr,rank_rating,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_hours,matches1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_hours,matches2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_hours,matches3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,role1,win_rate1.1,win_lose1,kda_rate1,kda1,role2,win_rate2.1,win_lose2,kda_rate2,kda2,role3,win_rate3.1,win_lose3,kda_rate3,kda3,role4,win_rate4,win_lose4,kda_rate4,kda4,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3,map_name1,win_rate1.2,win_lose1.1,map_name2,win_rate2.2,win_lose2.1,map_name3,win_rate3.2,win_lose3.1,map_name4,win_rate4.1,win_lose4.1,map_name5,win_rate5,win_lose5,map_name6,win_rate6,win_lose6,map_name7,win_rate7,win_lose7
10,shooting star#rkn,br,Radiant,487.0,93.0,374.0,92.0,52.0,155.9,1.29,31.2,69.6,64.0,75.2,27.0,1710.0,1329.0,578.0,241.6,1.72,0.9,165.0,96.0,3.0,55.1,Deadlock,16.0,31.0,71.0,1.28,156.1,245.5,26.0,Bind,92.0,Killjoy,9.4,17.0,64.7,1.26,158.5,233.0,34.0,Lotus,73.0,Astra,9.8,16.0,62.5,1.39,164.5,257.3,34.0,Pearl,44.0,Controller,70.6,24.9,1.96,666 / 519 / 349,Sentinel,66.7,36.17,1.56,979 / 751 / 195,Initiator,100.0,4.0,1.68,65 / 59 / 34,,,,,,Vandal,Assault Rifles,42.0,54.0,5.0,1134.0,Bulldog,Assault Rifles,34.0,63.0,3.0,143.0,Ghost,Sidearms,57.0,42.0,1.0,103.0,Bind,82.4,14.3,Lotus,78.6,11.3,Fracture,76.9,10.3,Split,75.0,9.3,Haven,62.5,5.3,Abyss,57.1,8.4,Pearl,50.0,7.7
11,PuniSher#6567,br,Radiant,396.0,165.0,409.0,191.0,106.0,152.2,1.14,31.2,51.3,98.0,74.1,18.0,3214.0,2827.0,980.0,228.7,1.48,0.8,396.0,154.0,6.0,50.3,Yoru,33.0,61.0,44.3,1.12,149.2,224.0,16.0,Pearl,47.0,Clove,19.0,35.0,57.1,1.12,161.4,243.7,23.0,Bind,67.0,Jett,13.0,24.0,45.8,1.14,156.7,241.2,18.0,Abyss,100.0,Controller,59.0,23.15,1.6,672 / 611 / 306,Duelist,47.4,45.5,1.43,"1,606 / 1,402 / 400",Sentinel,53.1,17.15,1.48,578 / 462 / 104,Initiator,52.0,13.12,1.5,358 / 352 / 170,Vandal,Assault Rifles,45.0,51.0,4.0,1427.0,Phantom,Assault Rifles,38.0,56.0,6.0,641.0,Sheriff,Sidearms,53.0,46.0,2.0,374.0,Split,69.0,20.9,Fracture,54.5,18.15,Abyss,53.8,14.11,Lotus,48.1,13.14,Bind,48.1,13.14,Pearl,46.2,12.14,Haven,34.8,8.15
12,waved 540z#emwa,br,Radiant,378.0,182.0,581.0,177.0,95.0,161.6,1.08,33.5,48.0,85.0,70.4,8.0,3217.0,2991.0,730.0,243.6,1.32,0.9,584.0,130.0,14.0,49.8,Reyna,33.0,63.0,50.8,1.14,171.4,256.8,17.0,Abyss,80.0,Jett,18.0,33.0,39.4,1.08,159.1,246.4,10.0,Haven,71.0,Raze,7.4,13.0,30.8,1.07,168.9,251.8,17.0,Bind,40.0,Sentinel,37.5,6.1,1.24,286 / 273 / 52,Controller,66.7,10.5,1.44,269 / 263 / 110,Initiator,47.4,9.1,1.25,260 / 304 / 119,Duelist,47.2,60.67,1.33,"2,402 / 2,151 / 449",Vandal,Assault Rifles,45.0,52.0,3.0,1845.0,Sheriff,Sidearms,57.0,41.0,2.0,368.0,Guardian,Assault Rifles,53.0,45.0,2.0,240.0,Abyss,66.7,16.8,Haven,59.4,19.13,Bind,52.0,13.12,Fracture,45.8,11.13,Lotus,41.7,10.14,Pearl,36.4,8.14,Split,30.8,8.18
13,cr9cs#1000,br,Immortal 2,206.0,495.0,1031.0,242.0,129.0,160.7,1.11,36.8,45.9,111.0,68.0,14.0,4354.0,3937.0,894.0,246.5,1.33,0.9,850.0,147.0,13.0,48.7,Chamber,52.0,97.0,46.4,1.15,158.7,248.1,16.0,Fracture,68.0,Cypher,20.0,37.0,48.6,1.06,155.8,233.9,13.0,Pearl,50.0,Killjoy,13.0,25.0,56.0,1.19,177.3,266.0,34.0,Haven,58.0,Controller,46.2,12.13,1.45,472 / 442 / 168,Initiator,33.3,5.1,1.28,220 / 258 / 109,Sentinel,48.3,83.86,1.32,"3,161 / 2,805 / 529",Duelist,37.9,11.18,1.36,501 / 432 / 88,Vandal,Assault Rifles,52.0,45.0,3.0,2250.0,Operator,Sniper Rifles,11.0,88.0,1.0,523.0,Guardian,Assault Rifles,52.0,45.0,2.0,301.0,Fracture,58.5,24.17,Haven,55.2,16.12,Bind,50.0,16.16,Abyss,41.7,15.21,Lotus,41.2,14.2,Pearl,38.9,14.21,Split,35.3,12.2
14,leoziN#cheat,br,Radiant,351.0,225.0,484.0,195.0,103.0,131.5,0.9,35.4,49.2,96.0,68.2,11.0,2747.0,3051.0,990.0,197.2,1.22,0.7,384.0,140.0,5.0,49.5,Cypher,13.0,25.0,48.0,0.89,123.8,187.5,14.0,Split,54.0,Jett,9.4,18.0,55.6,0.92,147.2,213.1,3.0,Pearl,75.0,Astra,10.0,17.0,58.8,1.04,146.6,221.9,8.0,Abyss,71.0,Controller,49.0,24.24,1.36,782 / 812 / 322,Initiator,47.8,22.24,1.17,536 / 702 / 288,Duelist,52.9,18.15,1.26,532 / 533 / 138,Sentinel,48.5,32.34,1.13,"897 / 1,004 / 242",Vandal,Assault Rifles,51.0,46.0,3.0,1486.0,Phantom,Assault Rifles,47.0,49.0,4.0,321.0,Sheriff,Sidearms,66.0,33.0,1.0,266.0,Bind,58.8,20.14,Abyss,56.0,14.11,Pearl,50.0,13.12,Fracture,48.1,13.14,Lotus,45.8,11.12,Split,43.3,13.17,Haven,41.4,12.17
15,Konato#JESUS,br,Radiant,458.0,104.0,327.0,139.0,77.0,127.6,0.87,29.6,48.9,68.0,67.7,13.0,1937.0,2222.0,724.0,192.0,1.2,0.7,239.0,89.0,1.0,49.8,Cypher,24.0,43.0,53.5,0.95,125.7,188.8,4.0,Fracture,80.0,Clove,17.0,32.0,46.9,0.79,131.9,206.6,29.0,Split,57.0,Sova,6.7,12.0,41.7,0.83,122.5,175.2,9.0,Pearl,50.0,Sentinel,53.1,34.28,1.17,877 / 946 / 230,Duelist,50.0,4.4,1.22,134 / 134 / 30,Initiator,42.9,12.16,1.18,349 / 432 / 162,Controller,46.2,18.2,1.24,577 / 710 / 302,Vandal,Assault Rifles,40.0,56.0,4.0,1351.0,Ghost,Sidearms,40.0,57.0,3.0,198.0,Sheriff,Sidearms,53.0,45.0,2.0,116.0,Haven,61.1,11.7,Bind,54.5,12.1,Pearl,50.0,9.9,Fracture,50.0,10.1,Split,47.6,10.1,Abyss,43.5,10.11,Lotus,35.3,6.11
16,raffa#julia,br,Radiant,417.0,149.0,369.0,153.0,84.0,163.3,1.11,33.6,57.5,88.0,72.7,13.0,2833.0,2549.0,755.0,249.0,1.41,0.9,424.0,108.0,10.0,51.0,Jett,32.0,59.0,64.4,1.16,169.5,260.9,23.0,Bind,73.0,Clove,26.0,46.0,43.5,1.02,163.5,248.2,1.0,Bind,50.0,Fade,6.5,12.0,58.3,1.09,147.5,218.4,9.0,Pearl,67.0,Controller,43.5,20.23,1.39,878 / 857 / 317,Initiator,58.8,10.7,1.52,270 / 250 / 110,Sentinel,50.0,8.8,1.22,254 / 257 / 60,Duelist,67.6,50.24,1.43,"1,431 / 1,185 / 268",Vandal,Assault Rifles,47.0,50.0,3.0,1839.0,Sheriff,Sidearms,49.0,50.0,1.0,254.0,Ghost,Sidearms,48.0,51.0,1.0,154.0,Haven,66.7,14.7,Bind,63.6,14.7,Lotus,60.0,15.1,Abyss,58.3,14.1,Split,57.9,11.7,Pearl,47.8,11.12,Fracture,47.4,9.9
17,Dieguin#Deco,br,Immortal 3,326.0,268.0,903.0,507.0,273.0,164.5,1.17,31.7,48.3,245.0,71.1,19.0,9374.0,7992.0,1641.0,249.5,1.38,0.9,1581.0,373.0,19.0,50.0,Iso,94.0,180.0,48.3,1.21,171.9,259.0,27.0,Bind,65.0,Jett,89.0,161.0,47.2,1.16,160.1,246.5,17.0,Bind,62.0,Reyna,37.0,71.0,54.9,1.22,166.6,249.5,22.0,Haven,85.0,Duelist,48.4,230.234,1.38,"8,790 / 7,446 / 1,481",Controller,63.2,12.7,1.51,386 / 324 / 104,Sentinel,23.1,3.1,1.14,198 / 222 / 56,,,,,,Vandal,Assault Rifles,47.0,50.0,3.0,5379.0,Sheriff,Sidearms,41.0,57.0,2.0,978.0,Operator,Sniper Rifles,9.0,89.0,1.0,759.0,Bind,55.3,42.3,Abyss,54.2,32.26,Pearl,51.4,37.34,Haven,50.0,38.37,Lotus,44.6,33.39,Fracture,43.0,34.44,Split,40.8,29.41
18,Seekehrah#faith,br,Radiant,351.0,226.0,388.0,277.0,154.0,167.8,1.28,29.8,52.3,145.0,74.1,31.0,5371.0,4191.0,886.0,255.9,1.49,0.9,942.0,250.0,9.0,51.8,Jett,122.0,219.0,53.9,1.29,167.9,256.9,31.0,Bind,62.0,Raze,15.0,26.0,50.0,1.18,168.2,251.1,27.0,Fracture,67.0,Reyna,8.0,16.0,56.2,1.4,175.0,267.7,37.0,Haven,67.0,Duelist,53.6,140.12,1.5,"5,081 / 3,956 / 848",Sentinel,31.3,5.11,1.4,290 / 235 / 38,,,,,,,,,,,Vandal,Assault Rifles,46.0,51.0,3.0,2171.0,Outlaw,Sniper Rifles,9.0,89.0,2.0,476.0,Sheriff,Sidearms,46.0,52.0,2.0,470.0,Bind,60.0,24.16,Fracture,60.0,27.18,Pearl,57.9,22.16,Lotus,55.0,22.18,Split,50.0,20.2,Haven,41.0,16.23,Abyss,40.0,14.2
19,Clumsy Cowboys#MAX,br,Radiant,418.0,146.0,337.0,93.0,51.0,137.5,1.13,35.6,50.5,47.0,73.3,10.0,1435.0,1274.0,452.0,206.2,1.48,0.7,128.0,83.0,1.0,50.3,Cypher,14.0,25.0,44.0,1.17,140.8,209.8,13.0,Fracture,57.0,Vyse,8.2,16.0,43.8,1.09,139.5,206.9,10.0,Bind,55.0,Killjoy,6.1,11.0,81.8,1.43,169.2,245.2,46.0,Pearl,89.0,Sentinel,53.1,34.3,1.49,"1,028 / 879 / 283",Initiator,35.0,7.13,1.41,272 / 263 / 100,Controller,75.0,6.2,1.67,127 / 116 / 67,Duelist,0.0,0.1,0.62,8 / 16 / 2,Vandal,Assault Rifles,47.0,50.0,3.0,896.0,Ghost,Sidearms,55.0,44.0,1.0,142.0,Sheriff,Sidearms,59.0,39.0,2.0,92.0,Pearl,75.0,9.3,Fracture,60.0,9.6,Bind,57.1,8.6,Lotus,45.5,5.6,Split,42.9,6.8,Haven,41.7,5.7,Abyss,33.3,5.1
20,LOUD Coreano#LLL,br,Radiant,430.0,137.0,936.0,174.0,96.0,122.9,0.88,26.1,46.0,80.0,70.6,12.0,2306.0,2626.0,1219.0,186.6,1.34,0.6,329.0,127.0,2.0,47.7,Omen,22.0,43.0,39.5,0.88,124.9,193.5,16.0,Split,44.0,Astra,15.0,27.0,40.7,0.85,117.8,178.3,16.0,Pearl,50.0,Brimstone,13.0,25.0,44.0,0.98,128.9,198.5,2.0,Bind,41.0,Controller,42.3,44.58,1.41,"1,374 / 1,540 / 798",Initiator,58.3,21.15,1.35,466 / 550 / 278,Sentinel,39.3,11.17,1.09,362 / 438 / 117,Duelist,66.7,4.2,1.33,104 / 98 / 26,Vandal,Assault Rifles,39.0,56.0,5.0,1147.0,Guardian,Assault Rifles,47.0,51.0,2.0,242.0,Sheriff,Sidearms,58.0,40.0,2.0,182.0,Fracture,60.0,12.8,Pearl,54.2,13.11,Lotus,51.9,14.13,Split,44.0,11.14,Bind,42.9,12.15,Abyss,41.7,10.13,Haven,30.8,8.18
21,Jäke#demon,br,Radiant,360.0,207.0,540.0,83.0,47.0,147.3,1.1,33.3,55.4,46.0,70.7,14.0,1377.0,1257.0,303.0,217.7,1.34,0.8,189.0,74.0,3.0,52.1,Jett,18.0,32.0,56.2,1.15,153.0,230.3,18.0,Pearl,100.0,Raze,11.0,21.0,61.9,1.2,165.2,242.9,31.0,Bind,60.0,Tejo,6.4,11.0,63.6,0.92,125.6,177.3,1.0,Fracture,75.0,Duelist,58.9,33.2,1.36,992 / 848 / 162,Initiator,57.9,11.8,1.31,271 / 279 / 94,Controller,0.0,0.5,1.34,83 / 87 / 34,Sentinel,66.7,2.1,1.02,31 / 43 / 13,Vandal,Assault Rifles,48.0,48.0,3.0,815.0,Sheriff,Sidearms,49.0,51.0,0.0,120.0,Ghost,Sidearms,47.0,51.0,2.0,76.0,Pearl,90.0,9.1,Split,75.0,9.3,Fracture,63.6,7.4,Haven,54.5,6.5,Bind,53.3,8.6,Lotus,36.4,4.6,Abyss,23.1,3.9
22,muzi#MVP,br,Radiant,349.0,228.0,609.0,53.0,29.0,162.4,1.2,35.7,58.5,31.0,73.5,33.0,949.0,790.0,265.0,242.3,1.54,0.9,128.0,45.0,4.0,51.0,Killjoy,6.7,12.0,50.0,1.25,155.6,227.7,34.0,Haven,67.0,Jett,5.7,10.0,80.0,1.4,185.4,280.5,51.0,Split,100.0,Iso,5.0,9.0,66.7,1.37,194.0,298.3,58.0,Abyss,67.0,Sentinel,50.0,8.7,1.39,263 / 228 / 55,Duelist,70.0,14.6,1.59,430 / 319 / 77,Controller,60.0,6.4,1.65,149 / 144 / 89,Initiator,42.9,3.4,1.53,107 / 99 / 44,Vandal,Assault Rifles,53.0,43.0,4.0,530.0,Outlaw,Sniper Rifles,16.0,82.0,2.0,121.0,Sheriff,Sidearms,64.0,35.0,1.0,83.0,Bind,87.5,7.1,Split,66.7,6.3,Abyss,62.5,5.3,Haven,57.1,4.3,Fracture,50.0,4.4,Lotus,42.9,3.3,Pearl,33.3,2.4
23,marcinho#bella,br,Immortal 3,290.0,312.0,461.0,62.0,34.0,128.6,0.91,33.2,48.4,30.0,72.2,9.0,880.0,963.0,411.0,191.2,1.34,0.7,87.0,41.0,1.0,49.6,Breach,6.7,12.0,50.0,0.77,110.9,160.9,27.0,Fracture,43.0,Skye,6.9,12.0,75.0,1.01,124.8,197.6,9.0,Split,71.0,Sova,5.0,10.0,20.0,0.9,142.7,202.7,4.0,Haven,25.0,Initiator,51.1,23.22,1.34,626 / 685 / 290,Duelist,100.0,2.0,1.28,31 / 32 / 10,Controller,33.3,4.8,1.44,189 / 192 / 88,Sentinel,33.3,1.2,1.06,34 / 54 / 23,Vandal,Assault Rifles,50.0,47.0,3.0,534.0,Sheriff,Sidearms,61.0,38.0,1.0,101.0,Ghost,Sidearms,53.0,44.0,3.0,72.0,Bind,77.8,7.2,Split,75.0,6.2,Lotus,54.5,6.5,Pearl,50.0,4.4,Fracture,33.3,3.6,Haven,27.3,3.8,Abyss,16.7,1.5
24,AZR greinzera#quel,br,Radiant,389.0,173.0,376.0,79.0,42.0,142.7,1.02,26.5,46.8,37.0,71.4,6.0,1199.0,1177.0,349.0,210.2,1.32,0.7,170.0,52.0,3.0,49.4,Jett,12.0,23.0,43.5,0.91,138.5,200.6,4.0,Abyss,44.0,Raze,6.6,13.0,30.8,1.06,153.4,233.1,13.0,Bind,50.0,Vyse,4.1,7.0,57.1,1.08,145.1,211.6,10.0,Lotus,60.0,Duelist,39.6,19.29,1.19,706 / 730 / 163,Sentinel,61.5,8.5,1.43,219 / 187 / 49,Initiator,55.6,5.4,1.66,138 / 130 / 78,Controller,55.6,5.4,1.5,136 / 130 / 59,Vandal,Assault Rifles,37.0,59.0,4.0,679.0,Sheriff,Sidearms,55.0,43.0,2.0,113.0,Ghost,Sidearms,44.0,54.0,2.0,103.0,Bind,66.7,8.4,Lotus,53.8,7.6,Abyss,53.8,7.6,Pearl,40.0,4.6,Split,40.0,4.6,Haven,33.3,3.6,Fracture,33.3,4.8
